weather_id,city_id,date_time,local_time,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,weather_main,weather_description,weather_icon,sunrise,sunset
1,1,2024-09-30 20:09:00,2024-10-01 04:09:00,20.84,21.02,19.47,21.79,1011,78,10000,6.17,350,75,Clouds,broken clouds,04n,2024-09-30 20:36:00,2024-10-01 08:26:00
2,2,2024-09-30 20:09:00,2024-10-01 00:39:00,28.06,34.68,28.06,28.06,1004,94,3000,1.54,250,20,Mist,mist,50n,2024-10-01 00:44:00,2024-10-01 12:37:00
3,3,2024-09-30 20:09:00,2024-10-01 03:09:00,25.99,25.99,NaN,25.99,1010,89,10000,NaN,0,20,Clouds,few clouds,02n,2024-09-30 21:48:00,2024-10-01 09:40:00
4,27,2024-09-30 20:03:00,2024-09-30 21:03:00,14.94,14.81,13.56,15.62,1013,89,10000,5.14,230,75,Clouds,broken clouds,04n,2024-09-30 05:49:00,2024-09-30 17:32:00
5,30,2024-09-30 20:09:00,2024-10-01 04:09:00,17.77,17.61,17.77,17.77,1010,77,10000,2.82,207,100,Clouds,overcast clouds,04n,2024-09-30 21:27:00,2024-10-01 09:16:00
6,33,2024-09-30 20:05:00,2024-09-30 20:05:00,13.4,12.94,12.37,14.05,1005,82,10000,9.77,250,100,Clouds,overcast clouds,04n,2024-09-30 06:00:00,2024-09-30 17:41:00
7,44,2024-09-30 20:05:00,2024-09-30 15:05:00,21.03,20.91,19.93,22.93,1016,66,10000,6.17,120,100,Clouds,overcast clouds,04d,2024-09-30 10:52:00,2024-09-30 22:39:00
8,56,2024-09-30 20:07:00,2024-10-01 03:07:00,26.65,26.65,25.98,27.32,1008,91,10000,0.51,130,75,Clouds,broken clouds,04n,2024-09-30 22:51:00,2024-10-01 10:57:00
9,59,2024-09-30 20:00:00,2024-09-30 21:00:00,21.9,NaN,20.13,23.24,1020,71,10000,4.63,240,20,Clouds,few clouds,02n,2024-09-30 05:47:00,2024-09-30 17:35:00
10,65,2024-09-30 20:09:00,2024-10-01 05:09:00,9.72,9.72,7.94,10.94,1023,89,10000,0.45,283,3,Clear,clear sky,01d,2024-09-30 19:32:00,2024-10-01 07:57:00
11,1,2024-09-30 20:20:00,2024-10-01 04:20:00,20.84,21.02,19.47,21.79,1011,78,10000,5.66,340,75,Clouds,broken clouds,04n,2024-09-30 20:36:00,2024-10-01 08:26:00
12,2,2024-09-30 20:20:00,2024-10-01 00:50:00,27.06,31.35,27.06,27.06,1004,94,2800,1.54,250,20,Mist,mist,50n,2024-10-01 00:44:00,2024-10-01 12:37:00
13,3,2024-09-30 20:20:00,2024-10-01 03:20:00,25.99,25.99,NaN,25.99,1010,89,10000,NaN,0,20,Clouds,few clouds,02n,2024-09-30 21:48:00,2024-10-01 09:40:00
14,27,2024-09-30 20:10:00,2024-09-30 21:10:00,14.83,14.69,13.46,15.56,1013,89,10000,5.14,230,75,Clouds,broken clouds,04n,2024-09-30 05:49:00,2024-09-30 17:32:00
15,30,2024-09-30 20:20:00,2024-10-01 04:20:00,19.86,20.36,17.77,19.86,1010,94,10000,2.57,160,100,Clouds,overcast clouds,04n,2024-09-30 21:27:00,2024-10-01 09:16:00
16,33,2024-09-30 20:16:00,2024-09-30 20:16:00,13.25,12.77,12.06,13.99,1005,82,10000,9.77,250,100,Clouds,overcast clouds,04n,2024-09-30 06:00:00,2024-09-30 17:41:00
17,44,2024-09-30 20:21:00,2024-09-30 15:21:00,NaN,20.88,19.93,22.8,1016,66,10000,6.17,120,100,Clouds,overcast clouds,04d,2024-09-30 10:52:00,2024-09-30 22:39:00
18,56,2024-09-30 20:21:00,2024-10-01 03:21:00,26.65,26.65,25.98,27.32,1008,91,10000,0.51,130,75,Clouds,broken clouds,04n,2024-09-30 22:51:00,2024-10-01 10:57:00
19,59,2024-09-30 20:12:00,2024-09-30 21:12:00,21.97,22.15,20.05,23.31,1020,74,10000,4.63,240,20,Clouds,few clouds,02n,2024-09-30 05:47:00,2024-09-30 17:35:00
20,65,2024-09-30 20:21:00,2024-10-01 05:21:00,9.88,9.88,7.94,10.94,1023,89,10000,0.45,283,3,Clear,clear sky,01d,2024-09-30 19:32:00,2024-10-01 07:57:00
21,1,2024-09-30 21:30:00,2024-10-01 05:30:00,20.86,21.14,19.47,21.79,1011,82,10000,5.66,330,75,Clouds,broken clouds,04d,2024-09-30 20:36:00,2024-10-01 08:26:00
